STUDYID,DOMAIN,USUBJID,PUID,COHORT,SUBJID,POOLID,EXSEQ,FOCID,EXTRT,EXDOSE,EXDOSTXT,EXDOSU,EXDOSFRM,EXDOSFRQ,EXROUTE,EXLOT,EXLOC,EXMETHOD,EXTRTV,EXVAMT,EXVAMTU,EXADJ,EXSTDTC,EXENDTC,EXSTDY,EXENDY,EXDUR,EXTPT,EXTPTNUM,EXELTM,EXTPTREF,EXRFTDTC
Xeno Nimo Hypox;FaDu,EX,N150a001,N150,a,1,,2.0,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2011-12-26,2011-12-26,20,20,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a001,N150,a,1,,2.0001,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2012-01-02,2012-01-02,27,27,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a001,N150,a,1,,2.0002,,CISPLATIN,0.114,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.38,ml,,2012-01-09,2012-01-09,34,34,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a001,N150,a,1,,2.0003,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2012-01-16,2012-01-16,41,41,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a001,N150,a,1,,2.0004,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2012-01-23,2012-01-23,48,48,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a001,N150,a,1,,2.0005,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2012-01-30,2012-01-30,55,55,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a002,N150,a,2,,2.0,,CISPLATIN,0.12,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.4,ml,,2011-12-22,2011-12-22,16,16,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a002,N150,a,2,,2.0001,,CISPLATIN,0.111,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.37,ml,,2011-12-29,2011-12-29,23,23,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a002,N150,a,2,,2.0002,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2012-01-05,2012-01-05,30,30,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a002,N150,a,2,,2.0003,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2012-01-12,2012-01-12,37,37,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a002,N150,a,2,,2.0004,,CISPLATIN,0.111,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.37,ml,,2012-01-19,2012-01-19,44,44,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a002,N150,a,2,,2.0005,,CISPLATIN,0.123,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.41,ml,,2012-01-26,2012-01-26,51,51,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a003,N150,a,3,,2.0,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2011-12-22,2011-12-22,16,16,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a003,N150,a,3,,2.0001,,CISPLATIN,0.114,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.38,ml,,2011-12-29,2011-12-29,23,23,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a003,N150,a,3,,2.0002,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2012-01-05,2012-01-05,30,30,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a003,N150,a,3,,2.0003,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2012-01-12,2012-01-12,37,37,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a003,N150,a,3,,2.0004,,CISPLATIN,0.111,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.37,ml,,2012-01-19,2012-01-19,44,44,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a003,N150,a,3,,2.0005,,CISPLATIN,0.114,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.38,ml,,2012-01-26,2012-01-26,51,51,1,,,,,
Xeno Nimo Hypox;FaDu,EX,N150a004,N150,a,4,,2.0,,CISPLATIN,0.108,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,SALINE;SODIUM CHLORIDE 0.9%,0.36,ml,,2011-12-26,2011-12-26,20,20,1,,,,,
