STUDYID,DOMAIN,RDOMAIN,USUBJID,PUID,COHORT,SUBJID,POOLID,COSEQ,IDVAR,IDVARVAL,COREF,COVAL,COEVAL,CODTC,CODY
Xeno Nimo Hypox;FaDu,CO,,N150a001,N150,a,1,,3.0,LBSEQ,7.0108;7.0109,,"killed, end of experiment",EJ,2012-07-05,212
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0,LBSEQ,7.0010;7.0011,,prox. 7x65,EJ,2012-01-09,34
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0001,LBSEQ,7.0012;7.0013,,prox. 75x6,EJ,2012-01-12,37
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0002,LBSEQ,7.0014;7.0015,,prox. 75x6,EJ,2012-01-16,41
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0003,LBSEQ,7.0016;7.0017,,prox. 75x6,EJ,2012-01-19,44
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0004,LBSEQ,7.0018;7.0019,,prox. 75x6,EJ,2012-01-23,48
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0005,LBSEQ,7.0020;7.0021,,prox. 75x6,EJ,2012-01-26,51
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0006,LBSEQ,7.0022;7.0023,,prox. 75x6,EJ,2012-01-30,55
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0007,LBSEQ,7.0024;7.0025,,prox. 75x6,EJ,2012-02-02,58
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0008,LBSEQ,7.0026;7.0027,,prox. 45x45,EJ,2012-02-06,62
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0009,LBSEQ,7.0028;7.0029,,Groin 4x4,EJ,2012-02-09,65
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.001,LBSEQ,7.0030;7.0031,,Groin 4x4,EJ,2012-02-13,69
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0011,LBSEQ,7.0032;7.0033,,Groin 5x5,KS,2012-02-16,72
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0012,LBSEQ,7.0034;7.0035,,Groin 7x6,EJ,2012-02-20,76
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0013,LBSEQ,7.0036;7.0037,,Groin 9x75,EJ,2012-02-23,79
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0014,LBSEQ,7.0038;7.0039,,Groin 95x9,EJ,2012-02-27,83
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0015,LBSEQ,7.0040;7.0041,,Groin 11x105,EJ,2012-03-01,86
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0016,LBSEQ,7.0042;7.0043,,Groin 11x105,EJ,2012-03-05,90
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0017,LBSEQ,7.0044;7.0045,,Groin 11x11,EJ,2012-03-08,93
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0018,LBSEQ,7.0046;7.0047,,prox. 13x12,EJ,2012-03-12,97
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0019,LBSEQ,7.0048;7.0049,,prox. 13x12,EJ,2012-03-15,100
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.002,LBSEQ,7.0050;7.0051,,prox. 135x130,KS,2012-03-19,104
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0021,LBSEQ,7.0052;7.0053,,prox. 135x130,KS,2012-03-22,107
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0022,LBSEQ,7.0054;7.0055,,prox. 13x13,EJ,2012-03-26,111
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0023,LBSEQ,7.0056;7.0057,,prox. 14x13,EJ,2012-03-29,114
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0024,LBSEQ,7.0058;7.0059,,"Epitheliolysis, scar",KS,2012-04-02,118
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0025,LBSEQ,7.0060;7.0061,,"Epitheliolysis, scar",KS,2012-04-05,121
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0026,LBSEQ,7.0062;7.0063,,"Epitheliolysis, scar",EJ,2012-04-10,126
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0027,LBSEQ,7.0064;7.0065,,"Scar, scab",EJ,2012-04-12,128
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0028,LBSEQ,7.0066;7.0067,,"Scar, scab",EJ,2012-04-17,133
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0029,LBSEQ,7.0068;7.0069,,"Scar, scab, prox. 6x6",EJ,2012-04-20,136
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.003,LBSEQ,7.0070;7.0071,,"Scar, scab, prox. 6x6",EJ,2012-04-23,139
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0031,LBSEQ,7.0072;7.0073,,"Scar, scab, prox. 6x6",EJ,2012-04-26,142
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0032,LBSEQ,7.0074;7.0075,,Tumor open,KS,2012-04-30,146
Xeno Nimo Hypox;FaDu,CO,,N150a002,N150,a,2,,3.0033,LBSEQ,7.0078;7.0079,,"recurrence, killed, end of experiment, tumor to history",EJ,2012-05-07,153
Xeno Nimo Hypox;FaDu,CO,,N150a003,N150,a,3,,3.0,LBSEQ,7.0000;7.0001,,grown together,EJ,2011-12-22,16
Xeno Nimo Hypox;FaDu,CO,,N150a003,N150,a,3,,3.0001,LBSEQ,7.0056;7.0057,,recurrence,EJ,2012-03-29,114
Xeno Nimo Hypox;FaDu,CO,,N150a003,N150,a,3,,3.0002,LBSEQ,7.0096;7.0097,,killed for final size,KS,2012-06-11,188
Xeno Nimo Hypox;FaDu,CO,,N150a004,N150,a,4,,3.0,LBSEQ,7.0030;7.0031,,flat,KS,2012-02-16,72
Xeno Nimo Hypox;FaDu,CO,,N150a004,N150,a,4,,3.0001,LBSEQ,7.0032;7.0033,,flat,EJ,2012-02-20,76
Xeno Nimo Hypox;FaDu,CO,,N150a004,N150,a,4,,3.0002,LBSEQ,7.0034;7.0035,,"flat, abdominal abscess",EJ,2012-02-23,79
Xeno Nimo Hypox;FaDu,CO,,N150a004,N150,a,4,,3.0003,LBSEQ,7.0036;7.0037,,abdominal abscess,EJ,2012-02-27,83
Xeno Nimo Hypox;FaDu,CO,,N150a004,N150,a,4,,3.0004,LBSEQ,7.0038;7.0039,,abdominal abscess,EJ,2012-03-01,86
Xeno Nimo Hypox;FaDu,CO,,N150a004,N150,a,4,,3.0005,LBSEQ,7.0040;7.0041,,abdominal abscess,EJ,2012-03-05,90
