STUDYID,DOMAIN,USUBJID,PUID,COHORT,SUBJID,BWSEQ,BWTESTCD,BWTEST,BWORRES,BWORRESU,BWSTRESC,BWSTRESN,BWSTRESU,BWSTAT,BWREASND,BWBLFL,BWFAST,BWEXCLFL,BWREASEX,BWUSCHFL,VISITDY,BWDTC,BWDY,BWNOMDY,BWNOMLBL
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0,BW,Body Weight,35.0,g,35.0,35.0,g,,,Y,,,,,,2011-12-26,20,20,Week 1
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0001,BW,Body Weight,37.0,g,37.0,37.0,g,,,,,,,,,2012-01-02,27,27,Week 2
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0002,BW,Body Weight,38.0,g,38.0,38.0,g,,,,,,,,,2012-01-09,34,34,Week 3
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0003,BW,Body Weight,36.0,g,36.0,36.0,g,,,,,,,,,2012-01-16,41,41,Week 4
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0004,BW,Body Weight,35.0,g,35.0,35.0,g,,,,,,,,,2012-01-23,48,48,Week 5
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0005,BW,Body Weight,36.0,g,36.0,36.0,g,,,,,,,,,2012-01-30,55,55,Week 6
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0006,BW,Body Weight,36.0,g,36.0,36.0,g,,,,,,,,,2012-02-06,62,62,Week 7
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0007,BW,Body Weight,37.0,g,37.0,37.0,g,,,,,,,,,2012-02-13,69,69,Week 8
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0008,BW,Body Weight,38.0,g,38.0,38.0,g,,,,,,,,,2012-02-20,76,76,Week 9
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0009,BW,Body Weight,37.0,g,37.0,37.0,g,,,,,,,,,2012-02-27,83,83,Week 10
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.001,BW,Body Weight,36.0,g,36.0,36.0,g,,,,,,,,,2012-03-05,90,90,Week 11
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0011,BW,Body Weight,38.0,g,38.0,38.0,g,,,,,,,,,2012-03-12,97,97,Week 12
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0012,BW,Body Weight,38.0,g,38.0,38.0,g,,,,,,,,,2012-03-19,104,104,Week 13
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0013,BW,Body Weight,37.0,g,37.0,37.0,g,,,,,,,,,2012-03-26,111,111,Week 14
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0014,BW,Body Weight,38.0,g,38.0,38.0,g,,,,,,,,,2012-04-02,118,118,Week 15
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0015,BW,Body Weight,37.0,g,37.0,37.0,g,,,,,,,,,2012-04-10,126,126,Week 16
Xeno Nimo Hypox;FaDu,BW,N150a001,N150,a,1,4.0016,BW,Body Weight,38.0,g,38.0,38.0,g,,,,,,,,,2012-04-17,133,133,Week 17
