STUDYID,DOMAIN,USUBJID,PUID,COHORT,SUBJID,DDSEQ,DDTESTCD,DDTEST,DDORRES,DDSTRESC,DDRESCAT,DDEVAL,DDDTC,DDDY
Xeno Nimo Hypox;FaDu,DD,N150a001,N150,a,1,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-07-05,212
Xeno Nimo Hypox;FaDu,DD,N150a002,N150,a,2,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-05-07,153
Xeno Nimo Hypox;FaDu,DD,N150a003,N150,a,3,5.0,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,KS,2012-06-11,188
Xeno Nimo Hypox;FaDu,DD,N150a004,N150,a,4,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-07-05,212
Xeno Nimo Hypox;FaDu,DD,N150a027,N150,a,27,5.0,DEATHD,Death Diagnosis,,,FOUND DEAD,KS,2012-04-05,121
Xeno Nimo Hypox;FaDu,DD,N150a028,N150,a,28,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-07-05,212
Xeno Nimo Hypox;FaDu,DD,N150a029,N150,a,29,5.0,DEATHD,Death Diagnosis,,,FOUND DEAD,EJ,2012-04-10,126
Xeno Nimo Hypox;FaDu,DD,N150a030,N150,a,30,5.0,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,KS,2012-03-22,107
Xeno Nimo Hypox;FaDu,DD,N150b053,N150,b,53,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219
Xeno Nimo Hypox;FaDu,DD,N150b056,N150,b,56,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219
Xeno Nimo Hypox;FaDu,DD,N150b058,N150,b,58,5.0,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,EJ,2012-04-30,90
Xeno Nimo Hypox;FaDu,DD,N150b069,N150,b,69,5.0,DEATHD,Death Diagnosis,,,FOUND DEAD,KS,2012-06-22,143
Xeno Nimo Hypox;FaDu,DD,N150b070,N150,b,70,5.0,DEATHD,Death Diagnosis,,,FOUND DEAD,KS,2012-06-14,135
Xeno Nimo Hypox;FaDu,DD,N150b071,N150,b,71,5.0,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,EJ,2012-06-07,128
Xeno Nimo Hypox;FaDu,DD,N150b072,N150,b,72,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219
Xeno Nimo Hypox;FaDu,DD,N150b087,N150,b,87,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219
Xeno Nimo Hypox;FaDu,DD,N150b088,N150,b,88,5.0,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,KS,2012-05-21,111
Xeno Nimo Hypox;FaDu,DD,N150b089,N150,b,89,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219
Xeno Nimo Hypox;FaDu,DD,N150b090,N150,b,90,5.0,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,EJ,2012-05-07,97
Xeno Nimo Hypox;FaDu,DD,N150b120,N150,b,120,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219
Xeno Nimo Hypox;FaDu,DD,N150b121,N150,b,121,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219
Xeno Nimo Hypox;FaDu,DD,N150b122,N150,b,122,5.0,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,KS,2012-05-24,114
Xeno Nimo Hypox;FaDu,DD,N150b129,N150,b,129,5.0,DEATHD,Death Diagnosis,,,TERMINAL SACRIFICE,EJ,2012-09-06,219
Xeno Nimo Hypox;FaDu,DD,N150b130,N150,b,130,5.0,DEATHD,Death Diagnosis,,,INTERIM SACRIFICE,KS,2012-05-14,104
