STUDYID,DOMAIN,USUBJID,PUID,COHORT,SUBJID,POOLID,CLSEQ,FOCID,CLGRPID,CLSPID,CLTESTCD,CLTEST,CLCAT,CLSCAT,CLBODSYS,CLORRES,CLSTRESC,CLRESCAT,CLSTAT,CLREASND,CLLOC,CLEVAL,CLSEV,CLEXCLFL,CLREASEX,CLUSCHFL,VISITDY,CLDTC,CLENDTC,CLDY,CLENDY,CLNOMDY,CLNOMLBL,CLTPT,CLTPTNUM,CLELTM,CLTPTREF,CLRFTDTC
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,,,clinical relevant classification,NOT DONE,UNKNOWN,right hind leg,EJ,,,,,,2011-12-29,2011-12-29,23,23,23,Week 1,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0001,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,,,clinical relevant classification,NOT DONE,UNKNOWN,right hind leg,EJ,,,,,,2012-01-02,2012-01-02,27,27,27,Week 2,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0002,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,,,clinical relevant classification,NOT DONE,UNKNOWN,right hind leg,EJ,,,,,,2012-01-05,2012-01-05,30,30,30,Week 2,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0003,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,NONE,normal skin,clinical relevant classification,,,right hind leg,EJ,0.0,,,,,2012-01-09,2012-01-09,34,34,34,Week 3,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0004,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,NONE,normal skin,clinical relevant classification,,,right hind leg,EJ,0.0,,,,,2012-01-12,2012-01-12,37,37,37,Week 3,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0005,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,NONE,normal skin,clinical relevant classification,,,right hind leg,EJ,0.0,,,,,2012-01-16,2012-01-16,41,41,41,Week 4,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0006,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,NONE,normal skin,clinical relevant classification,,,right hind leg,EJ,0.0,,,,,2012-01-19,2012-01-19,44,44,44,Week 4,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0007,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,NONE,normal skin,clinical relevant classification,,,right hind leg,EJ,0.0,,,,,2012-01-23,2012-01-23,48,48,48,Week 5,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0008,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,,,clinical relevant classification,NOT DONE,UNKNOWN,right hind leg,EJ,,,,,,2012-01-26,2012-01-26,51,51,51,Week 5,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0009,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,,,clinical relevant classification,NOT DONE,UNKNOWN,right hind leg,EJ,,,,,,2012-01-30,2012-01-30,55,55,55,Week 6,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.001,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,NONE,normal skin,clinical relevant classification,,,right hind leg,EJ,0.0,,,,,2012-02-02,2012-02-02,58,58,58,Week 6,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0011,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,NONE,normal skin,clinical relevant classification,,,right hind leg,EJ,0.0,,,,,2012-02-06,2012-02-06,62,62,62,Week 7,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0012,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,LIGHT,"erythema, dry dermatitis",clinical relevant classification,,,right hind leg,EJ,1.0,,,,,2012-02-09,2012-02-09,65,65,65,Week 7,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0013,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,LIGHT,"erythema, dry dermatitis",clinical relevant classification,,,right hind leg,EJ,1.0,,,,,2012-02-13,2012-02-13,69,69,69,Week 8,,,,,
Xeno Nimo Hypox;FaDu,CL,N150a001,N150,a,1,,6.0014,,,,EY,Eyes,DERMAL,TOXICITY,INTEGUMENTARY SYSTEM,LIGHT,"erythema, dry dermatitis",clinical relevant classification,,,right hind leg,KS,1.0,,,,,2012-02-16,2012-02-16,72,72,72,Week 8,,,,,
