STUDYID,DOMAIN,USUBJID,PUID,COHORT,SUBJID,LBSEQ,POOLID,LBGRPID,LBREFID,LBSPID,LBTESTCD,LBTEST,LBCAT,LBSCAT,LBORRES,LBORRESU,LBORNRLO,LBORNRHI,LBSTRESC,LBSTRESN,LBSTRESU,LBSTNRLO,LBSTNRHI,LBSTNRC,LBNRIND,LBSTAT,LBREASND,LBNAM,LBSPEC,LBANTREG,LBSPCCND,LBSPCUFL,LBLOC,LBLAT,LBDIR,LBPORTOT,LBMETHOD,LBBLFL,LBFAST,LBDRVFL,LBTOX,LBTOXGR,LBEXCLFL,LBREASEX,LBUSCHFL,VISITDY,LBDTC,LBENDTC,LBDY,LBENDY,LBNOMDY,LBNOMLBL,LBTPT,LBTPTNUM,LBELTM,LBTPTREF,LBRFTDTC
Xeno Nimo Hypox;FaDu,LB,N150a001,N150,a,1,7.0,,,,,Axis A,Tumor Volume Measurement,,,6.0,mm,,,6.0,6.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),Y,,,,,,,,,2011-12-26,2011-12-26,20,20,1,Week 1,,,,,
Xeno Nimo Hypox;FaDu,LB,N150a001,N150,a,1,7.0001,,,,,Axis B,Tumor Volume Measurement,,,6.0,mm,,,6.0,6.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),Y,,,,,,,,,2011-12-26,2011-12-26,20,20,1,Week 1,,,,,
Xeno Nimo Hypox;FaDu,LB,N150a001,N150,a,1,7.0002,,,,,Axis A,Tumor Volume Measurement,,,7.5,mm,,,7.5,7.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2011-12-29,2011-12-29,23,23,1,Week 1,,,,,
Xeno Nimo Hypox;FaDu,LB,N150a001,N150,a,1,7.0003,,,,,Axis B,Tumor Volume Measurement,,,7.0,mm,,,7.0,7.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2011-12-29,2011-12-29,23,23,1,Week 1,,,,,
Xeno Nimo Hypox;FaDu,LB,N150a001,N150,a,1,7.0004,,,,,Axis A,Tumor Volume Measurement,,,7.5,mm,,,7.5,7.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-02,2012-01-02,27,27,1,Week 2,,,,,
Xeno Nimo Hypox;FaDu,LB,N150a001,N150,a,1,7.0005,,,,,Axis B,Tumor Volume Measurement,,,7.0,mm,,,7.0,7.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-02,2012-01-02,27,27,1,Week 2,,,,,
Xeno Nimo Hypox;FaDu,LB,N150a001,N150,a,1,7.0006,,,,,Axis A,Tumor Volume Measurement,,,7.5,mm,,,7.5,7.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-05,2012-01-05,30,30,1,Week 2,,,,,
Xeno Nimo Hypox;FaDu,LB,N150a001,N150,a,1,7.0007,,,,,Axis B,Tumor Volume Measurement,,,7.0,mm,,,7.0,7.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-05,2012-01-05,30,30,1,Week 2,,,,,
Xeno Nimo Hypox;FaDu,LB,N150a001,N150,a,1,7.0008,,,,,Axis A,Tumor Volume Measurement,,,6.5,mm,,,6.5,6.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-09,2012-01-09,34,34,1,Week 3,,,,,
Xeno Nimo Hypox;FaDu,LB,N150a001,N150,a,1,7.0009,,,,,Axis B,Tumor Volume Measurement,,,6.0,mm,,,6.0,6.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-09,2012-01-09,34,34,1,Week 3,,,,,
