STUDYID,DOMAIN,USUBJID,PUID,COHORT,SUBJID,POOLID,PRSEQ,FOCID,PRGRPID,PRSPID,PRLNKID,PRLNKGRP,PRTRT,PRDECOD,PRCAT,PRSCAT,PRPRESP,PROCCUR,PRINDC,PRDOSE,PRDOSTXT,PRDOSU,PRDOSFRM,PRDOSFRQ,PRDOSRGM,PRROUTE,PRLOC,PRLAT,PRDIR,PRPORTOT,VISITNUM,VISITDY,TAETORD,EPOCH,PRSTDTC,PRENDTC,PRSTDY,PRENDY,PRDUR,PRTPT,PRTPTNUM,PRELTM,PRTPTREF,PRRFTDTC,PRSTRTPT,PRSTTPT,PRENRTPT,PRENTPT
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0,,,,,,XRAY;PHOTON,TOTAL BODY IRRADIATION,TBI; Whole Body Irradiation,,Y,Y,,4.0,,Gy,,ONCE,,,BODY,BILATERAL,,ENTIRE,,,,,2011-12-02,2011-12-02,-4,-4,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0001,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-26,2011-12-26,20,20,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0002,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-27,2011-12-27,21,21,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0003,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-28,2011-12-28,22,22,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0004,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-29,2011-12-29,23,23,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0005,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-30,2011-12-30,24,24,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0006,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-02,2012-01-02,27,27,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0007,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-03,2012-01-03,28,28,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0008,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-04,2012-01-04,29,29,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0009,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-05,2012-01-05,30,30,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.001,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-06,2012-01-06,31,31,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0011,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-09,2012-01-09,34,34,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0012,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-10,2012-01-10,35,35,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0013,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-11,2012-01-11,36,36,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0014,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-12,2012-01-12,37,37,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0015,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-13,2012-01-13,38,38,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0016,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-16,2012-01-16,41,41,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0017,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-17,2012-01-17,42,42,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0018,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-18,2012-01-18,43,43,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0019,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-19,2012-01-19,44,44,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.002,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-20,2012-01-20,45,45,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0021,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-23,2012-01-23,48,48,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0022,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-24,2012-01-24,49,49,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0023,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-25,2012-01-25,50,50,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0024,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-26,2012-01-26,51,51,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0025,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-27,2012-01-27,52,52,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0026,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-30,2012-01-30,55,55,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0027,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-31,2012-01-31,56,56,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0028,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-02-01,2012-02-01,57,57,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.0029,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-02-02,2012-02-02,58,58,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a001,N150,a,1,,8.003,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-02-03,2012-02-03,59,59,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0,,,,,,XRAY;PHOTON,TOTAL BODY IRRADIATION,TBI; Whole Body Irradiation,,Y,Y,,4.0,,Gy,,ONCE,,,BODY,BILATERAL,,ENTIRE,,,,,2011-12-02,2011-12-02,-4,-4,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0001,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-22,2011-12-22,16,16,1,,,,,,,,,
Xeno Nimo Hypox;FaDu,PR,N150a002,N150,a,2,,8.0002,,,,,,XRAY;PHOTON,PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-23,2011-12-23,17,17,1,,,,,,,,,
