Subject Id,Visit,BodyWeighID,Study Identifier,Domain Abbreviation,Project Unique Identifier,Cohort,Subject Identification,Test Short Name,Test Name,Result or Findings as Collected,Unit of the Original Result,Standardized Result in Character Format,Standardized Result in Numeric Format,Unit of the Standardized Result,Completion Status,Reason Not Done,Baseline Flag,Fasting Status,Exclusion Flag,Reason for Exclusion,Unscheduled Flag,Planned Study Day of Collection,Date/Time Animal Weighed,Study Day Animal Weighed,Nominal Study Day for Tabulations,Label for Nominal Study Day
N150a009,BW,N150a001_20,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,33.0,g,33,33.0,g,,,Y,,,,,,2011-12-26,20.0,20.0,Week 1
N150a009,BW,N150a001_27,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,34.0,g,34,34.0,g,,,,,,,,,2012-01-02,27.0,27.0,Week 2
N150a009,BW,N150a001_34,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,35.0,g,35,35.0,g,,,,,,,,,2012-01-09,34.0,34.0,Week 3
N150a009,BW,N150a001_41,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,30.0,g,30,30.0,g,,,,,,,,,2012-01-16,41.0,41.0,Week 4
N150a009,BW,N150a001_48,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,30.0,g,30,30.0,g,,,,,,,,,2012-01-23,48.0,48.0,Week 5
N150a009,BW,N150a001_55,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,33.0,g,33,33.0,g,,,,,,,,,2012-01-30,55.0,55.0,Week 6
N150a009,BW,N150a001_62,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,33.0,g,33,33.0,g,,,,,,,,,2012-02-06,62.0,62.0,Week 7
N150a009,BW,N150a001_69,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,33.0,g,33,33.0,g,,,,,,,,,2012-02-13,69.0,69.0,Week 8
N150a009,BW,N150a001_76,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,34.0,g,34,34.0,g,,,,,,,,,2012-02-20,76.0,76.0,Week 9
N150a009,BW,N150a001_83,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,34.0,g,34,34.0,g,,,,,,,,,2012-02-27,83.0,83.0,Week 10
N150a009,BW,N150a001_90,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,35.0,g,35,35.0,g,,,,,,,,,2012-03-05,90.0,90.0,Week 11
N150a009,BW,N150a001_97,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,35.0,g,35,35.0,g,,,,,,,,,2012-03-12,97.0,97.0,Week 12
N150a009,BW,N150a001_104,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,33.0,g,33,33.0,g,,,,,,,,,2012-03-19,104.0,104.0,Week 13
N150a009,BW,N150a001_111,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,32.0,g,32,32.0,g,,,,,,,,,2012-03-26,111.0,111.0,Week 14
N150a009,BW,N150a001_118,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,31.0,g,31,31.0,g,,,,,,,,,2012-04-02,118.0,118.0,Week 15
N150a009,BW,N150a001_126,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,27.0,g,27,27.0,g,,,,,,,,,2012-04-10,126.0,126.0,Week 16
N150a009,BW,N150a001_133,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,28.0,g,28,28.0,g,,,,,,,,,2012-04-17,133.0,133.0,Week 17
N150a009,BW,N150a001_139,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,26.0,g,26,26.0,g,,,,,,,,,2012-04-23,139.0,139.0,Week 18
N150a009,BW,N150a001_146,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,25.0,g,25,25.0,g,,,,,,,,,2012-04-30,146.0,146.0,Week 19
N150a009,BW,N150a001_153,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,27.0,g,27,27.0,g,,,,,,,,,2012-05-07,153.0,153.0,Week 20
N150a009,BW,N150a001_160,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,29.0,g,29,29.0,g,,,,,,,,,2012-05-14,160.0,160.0,Week 21
N150a009,BW,N150a001_167,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,27.0,g,27,27.0,g,,,,,,,,,2012-05-21,167.0,167.0,Week 22
N150a009,BW,N150a001_176,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,27.0,g,27,27.0,g,,,,,,,,,2012-05-30,176.0,176.0,Week 23
N150a009,BW,N150a001_181,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,26.0,g,26,26.0,g,,,,,,,,,2012-06-04,181.0,181.0,Week 24
N150a009,BW,N150a001_188,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,26.0,g,26,26.0,g,,,,,,,,,2012-06-11,188.0,188.0,Week 25
N150a009,BW,N150a001_195,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,27.0,g,27,27.0,g,,,,,,,,,2012-06-18,195.0,195.0,Week 26
N150a009,BW,N150a001_202,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,28.0,g,28,28.0,g,,,,,,,,,2012-06-25,202.0,202.0,Week 27
N150a009,BW,N150a002_20,"Xeno Nimo Hypox,FaDu",BW,N150,a,9,BW,Body Weight,,g,,,g,NOT DONE,UNKNOWN,,,,,,,2012-07-02,209.0,209.0,Week 28
N150a011,BW,N150a002_27,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,44.0,g,44,44.0,g,,,Y,,,,,,2011-12-19,13.0,13.0,Week 1
N150a011,BW,N150a002_34,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,39.0,g,39,39.0,g,,,,,,,,,2011-12-26,20.0,20.0,Week 2
N150a011,BW,N150a002_41,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,41.0,g,41,41.0,g,,,,,,,,,2012-01-02,27.0,27.0,Week 3
N150a011,BW,N150a002_48,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,35.0,g,35,35.0,g,,,,,,,,,2012-01-09,34.0,34.0,Week 4
N150a011,BW,N150a002_55,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,35.0,g,35,35.0,g,,,,,,,,,2012-01-16,41.0,41.0,Week 5
N150a011,BW,N150a002_62,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,34.0,g,34,34.0,g,,,,,,,,,2012-01-23,48.0,48.0,Week 6
N150a011,BW,N150a002_69,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,34.0,g,34,34.0,g,,,,,,,,,2012-01-30,55.0,55.0,Week 7
N150a011,BW,N150a002_76,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,36.0,g,36,36.0,g,,,,,,,,,2012-02-06,62.0,62.0,Week 8
N150a011,BW,N150a002_83,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,39.0,g,39,39.0,g,,,,,,,,,2012-02-13,69.0,69.0,Week 9
N150a011,BW,N150a002_90,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,39.0,g,39,39.0,g,,,,,,,,,2012-02-20,76.0,76.0,Week 10
N150a011,BW,N150a002_97,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,38.0,g,38,38.0,g,,,,,,,,,2012-02-27,83.0,83.0,Week 11
N150a011,BW,N150a002_104,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,39.0,g,39,39.0,g,,,,,,,,,2012-03-05,90.0,90.0,Week 12
N150a011,BW,N150a002_111,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,35.0,g,35,35.0,g,,,,,,,,,2012-03-12,97.0,97.0,Week 13
N150a011,BW,N150a002_118,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,37.0,g,37,37.0,g,,,,,,,,,2012-03-19,104.0,104.0,Week 14
N150a011,BW,N150a002_126,"Xeno Nimo Hypox,FaDu",BW,N150,a,11,BW,Body Weight,34.0,g,34,34.0,g,,,,,,,,,2012-03-26,111.0,111.0,Week 15
