Subject Id,Visit,LabRecordID,Study Identifier,Domain Abbreviation,Project Unique Identifier,Cohort,Subject Identification,Pool Identifier,Group Identifier,Specimen Identifier,Sponsor-Defined Identifier,Lab Test or Examination Short Name,Lab Test or Examination Name,Category for Lab Test,Subcategory for Lab Test,Result or Findings as Collected,Unit of the Original Result,Reference Range Lower Limit-Orig Unit,Reference Range Upper Limit-Orig Unit,Standardized Result in Character Format,Standardized Result in Numeric Format,Unit of the Standardized Result,Reference Range Lower Limit-Std Unit,Reference Range Upper Limit-Std Unit,Reference Range for Char Rslt-Std Unit,Reference Range Indicator,Completion Status,Reason Not Done,Laboratory Name,Specimen Material Type,Anatomical Region of Specimen,Specimen Condition,Specimen Usability for the Test,Specimen Collection Location,Specimen Laterality within Subject,Specimen Directionality within Subject,Portion or Totality,Method of Test or Examination,Baseline Flag,Fasting Status,Derived Flag,Toxicity,Standard Toxicity Grade,Exclusion Flag,Reason for Exclusion,Unscheduled Flag,Planned Study Day of Collection,Date/Time of Specimen Collection,End Date/Time of Specimen Collection,Study Day of Specimen Collection,Study Day of End of Specimen Collection,Nominal Study Day for Tabulations,Label for Nominal Study Day,Planned Time Point Name,Planned Time Point Number,Planned Elapsed Time from Time Point Ref,Time Point Reference,Date/Time of Reference Time Point
N150a009,LB,N150a009_20_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,8.5,mm,,,8.5,8.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),Y,,,,,,,,,2011-12-26,2011-12-26,20,20,1,Week 1,,,,,
N150a009,LB,N150a009_20_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,7.5,mm,,,7.5,7.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),Y,,,,,,,,,2011-12-26,2011-12-26,20,20,1,Week 1,,,,,
N150a009,LB,N150a009_23_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,10.5,mm,,,10.5,10.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2011-12-29,2011-12-29,23,23,1,Week 1,,,,,
N150a009,LB,N150a009_23_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,10.0,mm,,,10.0,10.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2011-12-29,2011-12-29,23,23,1,Week 1,,,,,
N150a009,LB,N150a009_27_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,7.5,mm,,,7.5,7.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-02,2012-01-02,27,27,1,Week 2,,,,,
N150a009,LB,N150a009_27_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,7.0,mm,,,7.0,7.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-02,2012-01-02,27,27,1,Week 2,,,,,
N150a009,LB,N150a009_30_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,7.0,mm,,,7.0,7.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-05,2012-01-05,30,30,1,Week 2,,,,,
N150a009,LB,N150a009_30_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,7.0,mm,,,7.0,7.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-05,2012-01-05,30,30,1,Week 2,,,,,
N150a009,LB,N150a009_34_1,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis A,Tumor Volume Measurement,,,6.0,mm,,,6.0,6.0,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-09,2012-01-09,34,34,1,Week 3,,,,,
N150a009,LB,N150a009_34_2,"Xeno Nimo Hypox,FaDu",LB,N150,a,9,,,,,Axis B,Tumor Volume Measurement,,,5.5,mm,,,5.5,5.5,mm,,,,,,,OncoRay,,heterotope,solid tumor,Y,,,,entire,Mechanical Measurement (Digital Caliber),,,,,,,,,,2012-01-09,2012-01-09,34,34,1,Week 3,,,,,
