Subject Id,Visit,ProcedureID,Study Identifier,Domain Abbreviation,Project Unique Identifier,Cohort,Subject Identification,Pool Identifier,Focus of Study-Specific Interest,Group ID,Sponsor-Defined Identifier,Link ID,Link Group ID,Reported Name of Procedure,Standardized Procedure Name,Category,Subcategory,Pre-specified,Occurrence,Indication,Dose,Dose Description,Dose Units,Dose Form,Dosing Frequency per Interval,Intended Dose Regimen,Route of Administration,Location of Procedure,Laterality,Directionality,Portion or Totality,Visit Number,Planned Study Day of Visit,Planned Order of Element within Arm,Epoch,Start Date/Time of Procedure,End Date/Time of Procedure,Study Day of Start of Procedure,Study Day of End of Procedure,Duration of Procedure,Planned Time Point Name,Planned Time Point Number,Planned Elapsed Time from Time Point Ref,Time Point Reference,Date/Time of Reference Time Point,Start Relative to Reference Time Point,Start Reference Time Point,End Relative to Reference Time Point,End Reference Time Point
N150a009,PR,N150a009_-4,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",TOTAL BODY IRRADIATION,"TBI, Whole Body Irradiation",,Y,Y,,4.0,,Gy,,ONCE,,,BODY,BILATERAL,,ENTIRE,,,,,2011-12-02,2011-12-02,-4.0,-4.0,1,,,,,,,,,
N150a009,PR,N150a009_20,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-26,2011-12-26,20.0,20.0,1,,,,,,,,,
N150a009,PR,N150a009_21,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-27,2011-12-27,21.0,21.0,1,,,,,,,,,
N150a009,PR,N150a009_22,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-28,2011-12-28,22.0,22.0,1,,,,,,,,,
N150a009,PR,N150a009_23,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-29,2011-12-29,23.0,23.0,1,,,,,,,,,
N150a009,PR,N150a009_24,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2011-12-30,2011-12-30,24.0,24.0,1,,,,,,,,,
N150a009,PR,N150a009_27,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-02,2012-01-02,27.0,27.0,1,,,,,,,,,
N150a009,PR,N150a009_28,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-03,2012-01-03,28.0,28.0,1,,,,,,,,,
N150a009,PR,N150a009_29,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-04,2012-01-04,29.0,29.0,1,,,,,,,,,
N150a009,PR,N150a009_30,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-05,2012-01-05,30.0,30.0,1,,,,,,,,,
N150a009,PR,N150a009_31,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-06,2012-01-06,31.0,31.0,1,,,,,,,,,
N150a009,PR,N150a009_34,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-09,2012-01-09,34.0,34.0,1,,,,,,,,,
N150a009,PR,N150a009_35,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-10,2012-01-10,35.0,35.0,1,,,,,,,,,
N150a009,PR,N150a009_36,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-11,2012-01-11,36.0,36.0,1,,,,,,,,,
N150a009,PR,N150a009_37,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-12,2012-01-12,37.0,37.0,1,,,,,,,,,
N150a009,PR,N150a009_38,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-13,2012-01-13,38.0,38.0,1,,,,,,,,,
N150a009,PR,N150a009_41,"Xeno Nimo Hypox,FaDu",PR,N150,a,9,,,,,,,"XRAY,PHOTON",PHOTON BEAM RADIATION THERAPY,RADIATION THERAPY,,Y,Y,,1.8,,Gy,,5 TIMES PER WEEK,,,LEG,RIGHT,HIND,ENTIRE,,,,,2012-01-16,2012-01-16,41.0,41.0,1,,,,,,,,,
