Subject Id,Visit,SessionID,Study Identifier,Domain Abbreviation,Project Unique Identifier,Cohort,Subject Identification,Pool Identifier,Focus of Study-Specific Interest,Name of Treatment,Dose,Dose Description,Dose Units,Dose Form,Dosing Frequency per Interval,Route of Administration,Lot Number,Location of Dose Administration,Method of Administration,Treatment Vehicle,Amount Administered,Amount Administered Units,Reason for Dose Adjustment,Start Date/Time of Treatment,End Date/Time of Treatment,Study Day of Start of Treatment,Study Day of End of Treatment,Duration of Treatment,Planned Time Point Name,Planned Time Point Number,Planned Elapsed Time from Time Point Ref,Time Point Reference,Date/Time of Reference Time Point
N150a009,EX,N150a009_20.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.9,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.33,ml,,2011-12-26,2011-12-26,20.0,20.0,1.0,,,,,
N150a009,EX,N150a009_20.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,CISPLATIN,99,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.33,ml,,2011-12-26,2011-12-26,20.0,20.0,1.0,,,,,
N150a009,EX,N150a009_21.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,10.2,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.34,ml,,2011-12-27,2011-12-27,21.0,21.0,1.0,,,,,
N150a009,EX,N150a009_22.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,10.2,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.34,ml,,2011-12-28,2011-12-28,22.0,22.0,1.0,,,,,
N150a009,EX,N150a009_23.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,10.2,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.34,ml,,2011-12-29,2011-12-29,23.0,23.0,1.0,,,,,
N150a009,EX,N150a009_24.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2011-12-30,2011-12-30,24.0,24.0,1.0,,,,,
N150a009,EX,N150a009_27.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-01-02,2012-01-02,27.0,27.0,1.0,,,,,
N150a009,EX,N150a009_27.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,CISPLATIN,96,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-01-02,2012-01-02,27.0,27.0,1.0,,,,,
N150a009,EX,N150a009_28.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.9,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.33,ml,,2012-01-03,2012-01-03,28.0,28.0,1.0,,,,,
N150a009,EX,N150a009_29.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-01-04,2012-01-04,29.0,29.0,1.0,,,,,
N150a009,EX,N150a009_30.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.0,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.3,ml,,2012-01-05,2012-01-05,30.0,30.0,1.0,,,,,
N150a009,EX,N150a009_31.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-01-06,2012-01-06,31.0,31.0,1.0,,,,,
N150a009,EX,N150a009_34.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,10.5,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.35,ml,,2012-01-09,2012-01-09,34.0,34.0,1.0,,,,,
N150a009,EX,N150a009_34.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,CISPLATIN,105,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.35,ml,,2012-01-09,2012-01-09,34.0,34.0,1.0,,,,,
N150a009,EX,N150a009_35.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.9,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.33,ml,,2012-01-10,2012-01-10,35.0,35.0,1.0,,,,,
N150a009,EX,N150a009_36.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-01-11,2012-01-11,36.0,36.0,1.0,,,,,
N150a009,EX,N150a009_37.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-01-12,2012-01-12,37.0,37.0,1.0,,,,,
N150a009,EX,N150a009_38.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-01-13,2012-01-13,38.0,38.0,1.0,,,,,
N150a009,EX,N150a009_41.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-01-16,2012-01-16,41.0,41.0,1.0,,,,,
N150a009,EX,N150a009_41.0_2,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,CISPLATIN,93,,mg/kg,,q.1.w,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-01-16,2012-01-16,41.0,41.0,1.0,,,,,
N150a009,EX,N150a009_42.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-01-17,2012-01-17,42.0,42.0,1.0,,,,,
N150a009,EX,N150a009_43.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-01-18,2012-01-18,43.0,43.0,1.0,,,,,
N150a009,EX,N150a009_44.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-01-19,2012-01-19,44.0,44.0,1.0,,,,,
N150a009,EX,N150a009_45.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.6,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.32,ml,,2012-01-20,2012-01-20,45.0,45.0,1.0,,,,,
N150a009,EX,N150a009_48.0_1,"Xeno Nimo Hypox,FaDu",EX,N150,a,9,,,NIMORAZOLE,9.3,,mg/kg,,q.d. during RT,INTRAPERITONEAL,,,,"SALINE,SODIUM CHLORIDE 0.9%",0.31,ml,,2012-01-23,2012-01-23,48.0,48.0,1.0,,,,,
